State,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
Alabama,4997675.0,39.3,54943.0,30458.0,769819.0,15.403542647331008
Alaska,735951.0,35.0,80287.0,39236.0,75016.0,10.19306991905711
Arizona,7079203.0,38.1,65913.0,34644.0,934911.0,13.206444284759174
Arkansas,3006309.0,38.3,52123.0,29210.0,468113.0,15.57102080990344
California,39455353.0,37.0,84097.0,41276.0,4741175.0,12.016557043603184
Colorado,5723176.0,37.1,80184.0,42807.0,535976.0,9.365009917570244
Connecticut,3605330.0,41.0,83572.0,47869.0,351476.0,9.748788599101886
Delaware,981892.0,41.1,72724.0,38917.0,109274.0,11.128922529157993
District of Columbia,683154.0,34.3,93547.0,63793.0,100618.0,14.728450686082494
Florida,21339762.0,42.3,61777.0,35216.0,2744612.0,12.861493019462916
Georgia,10625615.0,37.1,65030.0,34516.0,1441351.0,13.564871303919821
Hawaii,1453498.0,39.6,88005.0,39045.0,133740.0,9.201251050913038
Idaho,1811617.0,36.8,63377.0,31509.0,202560.0,11.181171296140409
Illinois,12821813.0,38.5,72563.0,39571.0,1483378.0,11.569175123674007
Indiana,6751340.0,37.9,61944.0,32537.0,819005.0,12.13099917942216
Iowa,3179090.0,38.3,65429.0,34817.0,339695.0,10.685290444749914
Kansas,2932099.0,37.0,64521.0,34968.0,327209.0,11.159548159867725
Kentucky,4494141.0,39.0,55454.0,30634.0,709140.0,15.779211199648609
Louisiana,4657305.0,37.4,53571.0,30340.0,850486.0,18.261333539461127
Maine,1357046.0,44.7,63182.0,36171.0,145992.0,10.75807304984503
Maryland,6148545.0,38.9,91431.0,45915.0,550074.0,8.946409272437625
Massachusetts,6991852.0,39.6,89026.0,48617.0,668780.0,9.565133815761547
Michigan,10062512.0,39.8,63202.0,34768.0,1310058.0,13.019194411892379
Minnesota,5670472.0,38.2,77706.0,41204.0,512312.0,9.034732911122742
Mississippi,2967023.0,37.8,49111.0,26807.0,557111.0,18.77676715010298
Missouri,6141534.0,38.8,61043.0,33770.0,762023.0,12.407698141864882
Montana,1077978.0,40.0,60560.0,34423.0,131512.0,12.199877919586486
Nebraska,1951480.0,36.7,66644.0,35189.0,195455.0,10.01573164982475
Nevada,3059238.0,38.3,65686.0,34621.0,388814.0,12.709504785178531
New Hampshire,1372175.0,43.0,83449.0,43877.0,98429.0,7.173210414123563
New Jersey,9234024.0,40.0,89703.0,46691.0,883896.0,9.572164854672243
New Mexico,2109366.0,38.3,54020.0,29624.0,378896.0,17.96255367726606
New York,20114745.0,39.2,75157.0,43208.0,2636823.0,13.108905929456228
North Carolina,10367022.0,39.0,60516.0,34209.0,1379672.0,13.308276957452199
North Dakota,773344.0,35.2,68131.0,37343.0,80390.0,10.395115239789796
Ohio,11769923.0,39.4,61938.0,34526.0,1528963.0,12.9904248311565
Oklahoma,3948136.0,36.8,56956.0,30976.0,583853.0,14.788067077729846
Oregon,4207177.0,39.6,70084.0,37816.0,498517.0,11.849204347713442
Pennsylvania,12970650.0,40.8,67587.0,37725.0,1482811.0,11.43204850951957
Rhode Island,1091949.0,40.0,74489.0,39603.0,118257.0,10.829901396493792
South Carolina,5078903.0,39.8,58234.0,32823.0,718345.0,14.143703866760204
South Dakota,881785.0,37.1,63920.0,33468.0,106291.0,12.054072137766008
Tennessee,6859497.0,38.8,58516.0,32908.0,955929.0,13.935846899561295
Texas,28862581.0,35.0,67321.0,34255.0,3965117.0,13.737915538461372
Utah,3231370.0,31.3,79133.0,33378.0,278486.0,8.618202186688618
Vermont,641637.0,42.7,67674.0,37903.0,64962.0,10.124416141837207
Virginia,8582479.0,38.5,80615.0,43267.0,828664.0,9.655298894410345
Washington,7617364.0,37.9,82400.0,43817.0,746904.0,9.805281722128548
West Virginia,1801049.0,42.6,50884.0,28761.0,295632.0,16.414434032610995
Wisconsin,5871661.0,39.6,67080.0,36754.0,610632.0,10.399646709849224
Wyoming,576641.0,38.2,68002.0,36288.0,60482.0,10.488674929462178
Puerto Rico,3311274.0,43.1,21967.0,14047.0,1400997.0,42.30990851255438
